"DESI_ID","TIC","Solvent_Integral","Solvent_TIC_Percentage","Exclude_SolventTIC","Non_Zero_Peaks","Non_Zero_Percentage","Exclude_NonZero_Percentage","Exclude"
337,395237.891338946,115093.012704,29.1199338995813,FALSE,479,35.933983495874,FALSE,FALSE
602,274685.578352209,48742.6898314,17.7449031448243,FALSE,303,22.7306826706677,FALSE,FALSE
142,205772.711769254,34349.4054229,16.6928865968478,FALSE,358,26.8567141785446,FALSE,FALSE
380,114073.614658614,19537.4679794,17.1270701273642,FALSE,283,21.2303075768942,FALSE,FALSE
226,448451.600663863,40904.1139196,9.12118807448737,FALSE,557,41.7854463615904,FALSE,FALSE
300,839612.466918851,187476.601067,22.3289444182491,FALSE,582,43.6609152288072,FALSE,FALSE
365,112254.070880676,21829.049805,19.4461097345894,FALSE,373,27.9819954988747,FALSE,FALSE
583,308092.202712164,23752.982674,7.70969939028002,FALSE,411,30.8327081770443,FALSE,FALSE
441,329609.087213933,31452.8250941,9.54246297028987,FALSE,477,35.7839459864966,FALSE,FALSE
103,485466.521025425,122852.113254,25.3059908218812,FALSE,501,37.5843960990248,FALSE,FALSE
292,207765.459891505,46718.1793389,22.4860183031849,FALSE,418,31.357839459865,FALSE,FALSE
531,515575.272489625,36424.0453338,7.0647386089551,FALSE,500,37.5093773443361,FALSE,FALSE
632,365487.449609494,44460.53825,12.1647236580911,FALSE,419,31.4328582145536,FALSE,FALSE
305,339814.03805878,130017.160797,38.2612682924271,FALSE,338,25.3563390847712,FALSE,FALSE
406,380514.493845366,28963.0887727,7.61155993823196,FALSE,412,30.9077269317329,FALSE,FALSE
189,153660.318826389,31402.4783498,20.4362964945294,FALSE,395,29.6324081020255,FALSE,FALSE
492,907621.968929545,48809.470626,5.37773129087721,FALSE,575,43.1357839459865,FALSE,FALSE
28,409208.234590902,94713.3093522,23.1455042557704,FALSE,414,31.0577644411103,FALSE,FALSE
80,503034.328170196,120224.9864258,23.8999566616303,FALSE,487,36.5341335333833,FALSE,FALSE
55,224601.585636977,46600.698984,20.748161172522,FALSE,349,26.1815453863466,FALSE,FALSE
83,375227.807103417,99626.707782,26.5509927292094,FALSE,448,33.6084021005251,FALSE,FALSE
207,229229.641418443,25393.529779,11.0777688355957,FALSE,517,38.7846961740435,FALSE,FALSE
374,179833.18384973,40762.269984,22.6667120669238,FALSE,329,24.6811702925731,FALSE,FALSE
145,147110.283662015,38261.835644,26.0089469556774,FALSE,342,25.6564141035259,FALSE,FALSE
285,176204.344947739,45363.805083,25.7449980001654,FALSE,335,25.1312828207052,FALSE,FALSE
540,310741.99562898,29119.0184331,9.37080241573384,FALSE,455,34.1335333833458,FALSE,FALSE
149,151731.469093288,10468.2898415,6.89922130462195,FALSE,508,38.1095273818455,FALSE,FALSE
391,75012.224487889,21384.66573586,28.5082409991889,FALSE,289,21.6804201050263,FALSE,FALSE
482,271458.3354758,36731.552098,13.5311932984554,FALSE,420,31.5078769692423,FALSE,FALSE
553,280023.698416239,33944.687699,12.1220767709964,FALSE,449,33.6834208552138,FALSE,FALSE
9,152173.602788495,63332.7665452,41.6187600113705,TRUE,253,18.9797449362341,FALSE,TRUE
12,145314.105048746,85980.4169755,59.1686656616422,TRUE,236,17.7044261065266,TRUE,TRUE
227,203024.363708915,37204.633858,18.3252064817905,FALSE,514,38.5596399099775,FALSE,FALSE
366,104407.305900923,19688.896773,18.8577768606382,FALSE,275,20.6301575393848,FALSE,FALSE
557,359646.576812203,44729.6395898,12.4371097832405,FALSE,413,30.9827456864216,FALSE,FALSE
147,138889.985578175,23566.7989816,16.9679612849663,FALSE,411,30.8327081770443,FALSE,FALSE
181,383618.070935691,32784.2029592,8.54605281738562,FALSE,590,44.2610652663166,FALSE,FALSE
291,543740.949898885,57072.573058,10.4962800886366,FALSE,565,42.3855963990998,FALSE,FALSE
552,389960.112119639,30754.918681,7.88668320814423,FALSE,515,38.6346586646662,FALSE,FALSE
71,147283.876294988,31957.827981,21.6981171224698,FALSE,387,29.0322580645161,FALSE,FALSE
129,311095.057750092,107168.159584,34.4486859929771,FALSE,394,29.5573893473368,FALSE,FALSE
268,582823.243639271,76876.278609,13.1903247593504,FALSE,575,43.1357839459865,FALSE,FALSE
528,248538.211021446,18129.1647851,7.29431692237282,FALSE,319,23.9309827456864,FALSE,FALSE
166,816565.528701829,82924.10567,10.1552297709447,FALSE,610,45.76144036009,FALSE,FALSE
209,172429.932539852,25324.5765222,14.6868795627157,FALSE,484,36.3090772693173,FALSE,FALSE
413,223195.795360803,22825.0045378,10.2264491590904,FALSE,326,24.4561140285071,FALSE,FALSE
437,351548.885346236,38798.093515,11.0363295496694,FALSE,436,32.7081770442611,FALSE,FALSE
74,128054.458760739,33126.906887,25.8693896390561,FALSE,298,22.3555888972243,FALSE,FALSE
341,607826.61643322,150898.891793,24.8259763085875,FALSE,557,41.7854463615904,FALSE,FALSE
458,435616.378517829,54523.434267,12.5163875730555,FALSE,522,39.1597899474869,FALSE,FALSE
541,590386.931683453,29586.3961691,5.01135688839456,FALSE,524,39.3098274568642,FALSE,FALSE
615,537323.729099243,162905.791381,30.3179968720331,FALSE,455,34.1335333833458,FALSE,FALSE
152,253542.801827793,24337.7267364,9.59906041936471,FALSE,424,31.807951987997,FALSE,FALSE
390,175924.538553064,56935.644589,32.3636742533371,FALSE,326,24.4561140285071,FALSE,FALSE
550,400960.367976361,24576.692766,6.12945685630679,FALSE,438,32.8582145536384,FALSE,FALSE
53,217945.093398786,93622.964087,42.9571332058817,TRUE,378,28.3570892723181,FALSE,TRUE
353,146349.578418817,20627.573542,14.0947269987816,FALSE,370,27.7569392348087,FALSE,FALSE
462,399897.086961105,44270.351405,11.0704360817977,FALSE,504,37.8094523630908,FALSE,FALSE
132,518644.039791372,90101.541424,17.3725203629534,FALSE,502,37.6594148537134,FALSE,FALSE
195,320971.217497899,42376.0028703,13.2024307975769,FALSE,597,44.7861965491373,FALSE,FALSE
262,148864.869949261,34181.3557068,22.9613311175769,FALSE,442,33.1582895723931,FALSE,FALSE
470,205700.165567346,23643.5647401,11.4941884829738,FALSE,393,29.4823705926482,FALSE,FALSE
487,666464.376014281,33926.17783,5.09047130664236,FALSE,545,40.8852213053263,FALSE,FALSE
73,409690.364032528,60883.0151199,14.8607388566908,FALSE,436,32.7081770442611,FALSE,FALSE
221,442160.241287728,34362.165643,7.7714281914912,FALSE,703,52.7381845461365,FALSE,FALSE
534,545899.619121639,32539.4722103,5.96070615741709,FALSE,507,38.0345086271568,FALSE,FALSE
171,157515.679635566,35475.9576726,22.5221754143324,FALSE,353,26.4816204051013,FALSE,FALSE
417,588644.4979884,29738.1507334,5.0519712381625,FALSE,511,38.3345836459115,FALSE,FALSE
538,485669.558485815,35361.717474,7.28102407411495,FALSE,445,33.3833458364591,FALSE,FALSE
610,572137.602171466,228688.700101,39.9709264402558,TRUE,411,30.8327081770443,FALSE,TRUE
449,321219.168547921,32866.3386544,10.2317488719534,FALSE,398,29.8574643660915,FALSE,FALSE
49,224293.538582101,85256.4950148,38.0111239734142,FALSE,363,27.231807951988,FALSE,FALSE
232,847040.818771423,46054.354061,5.43708792308248,FALSE,598,44.861215303826,FALSE,FALSE
290,222384.141433938,48224.342129,21.6851533648255,FALSE,310,23.2558139534884,FALSE,FALSE
123,787428.604136465,188482.47193,23.9364522624498,FALSE,658,49.3623405851463,FALSE,FALSE
170,512007.049107644,63099.4828106,12.3239480629365,FALSE,457,34.2835708927232,FALSE,FALSE
485,752093.091923276,150221.777585,19.9738276016933,FALSE,537,40.285071267817,FALSE,FALSE
243,136020.853268597,13235.6810294,9.73062637922424,FALSE,461,34.5836459114779,FALSE,FALSE
457,406614.276989239,56107.772885,13.7987709876909,FALSE,480,36.0090022505626,FALSE,FALSE
655,286470.591656106,40504.9021338,14.1392880503504,FALSE,449,33.6834208552138,FALSE,FALSE
327,510911.797388622,71638.723262,14.0217398831189,FALSE,557,41.7854463615904,FALSE,FALSE
396,571163.512207839,26630.1152227,4.66243285040408,FALSE,490,36.7591897974494,FALSE,FALSE
404,341476.103859942,25073.765127,7.34275834928822,FALSE,448,33.6084021005251,FALSE,FALSE
97,488878.713989597,147487.261366,30.1684767909814,FALSE,477,35.7839459864966,FALSE,FALSE
124,801203.074785229,157897.067865,19.7074964929866,FALSE,601,45.086271567892,FALSE,FALSE
622,501985.3321636,72024.061908,14.3478419175258,FALSE,521,39.0847711927982,FALSE,FALSE
153,140000.886743969,34970.1203895,24.9784992101177,FALSE,298,22.3555888972243,FALSE,FALSE
66,340534.512213389,39090.55927,11.4791769609257,FALSE,479,35.933983495874,FALSE,FALSE
200,282488.862157869,41718.253442,14.7681055894819,FALSE,592,44.4111027756939,FALSE,FALSE
328,1198035.15536695,182471.66503,15.2309107301705,FALSE,661,49.5873968492123,FALSE,FALSE
631,348034.646709331,58201.497036,16.7229031897529,FALSE,473,35.4838709677419,FALSE,FALSE
13,158092.224728527,58599.4238625,37.0666071422082,FALSE,280,21.0052513128282,FALSE,FALSE
367,139723.700856079,23896.70660112,17.1028296951099,FALSE,276,20.7051762940735,FALSE,FALSE
444,324386.191843834,99610.004361,30.7072270230769,FALSE,404,30.3075768942236,FALSE,FALSE
72,618997.53203213,96758.473495,15.6314796889978,FALSE,400,30.0075018754689,FALSE,FALSE
383,175396.350728415,20354.7914814,11.6050256444146,FALSE,416,31.2078019504876,FALSE,FALSE
105,1663187.23710899,377014.20696,22.6681758101595,FALSE,656,49.2123030757689,FALSE,FALSE
526,518167.447831105,107148.20382,20.6782970000317,FALSE,456,34.2085521380345,FALSE,FALSE
42,242310.18952509,102407.563204,42.2630032210825,TRUE,442,33.1582895723931,FALSE,TRUE
465,612525.679604427,131496.386935,21.4678978063289,FALSE,471,35.3338334583646,FALSE,FALSE
494,556753.9561893,19647.434105,3.528925818413,FALSE,609,45.6864216054013,FALSE,FALSE
296,379853.878764984,80958.659912,21.3131060225633,FALSE,499,37.4343585896474,FALSE,FALSE
412,233058.912877313,40938.1194186,17.5655669689623,FALSE,331,24.8312078019505,FALSE,FALSE
354,115290.426443061,16351.7397979,14.1830855365738,FALSE,281,21.0802700675169,FALSE,FALSE
358,116256.578064367,14693.831403,12.6391397782795,FALSE,238,17.854463615904,TRUE,TRUE
629,409455.543992642,94703.042266,23.1290169727685,FALSE,456,34.2085521380345,FALSE,FALSE
85,532608.919715498,156415.021065,29.3677058860658,FALSE,564,42.3105776444111,FALSE,FALSE
269,236097.446792183,86832.861929,36.7783993892284,FALSE,291,21.8304576144036,FALSE,FALSE
411,285961.013386154,31489.8333675,11.0119323591069,FALSE,403,30.2325581395349,FALSE,FALSE
594,809641.259228382,48364.83623,5.97361308835638,FALSE,630,47.2618154538635,FALSE,FALSE
303,655455.276689538,149621.538047,22.8271162607284,FALSE,487,36.5341335333833,FALSE,FALSE
313,414386.038728016,88387.411162,21.3297270905436,FALSE,478,35.8589647411853,FALSE,FALSE
376,115326.690556646,15868.6605422,13.7597467382502,FALSE,290,21.7554388597149,FALSE,FALSE
447,276415.253057868,38842.2731716,14.0521453653168,FALSE,383,28.7321830457614,FALSE,FALSE
67,174056.140328009,15339.0967859,8.81272947739359,FALSE,463,34.7336834208552,FALSE,FALSE
343,582844.064574789,165736.057462,28.4357459456865,FALSE,551,41.3353338334584,FALSE,FALSE
429,184191.679560254,23515.020558,12.766603037738,FALSE,296,22.205551387847,FALSE,FALSE
81,212747.709816833,28197.8885109,13.2541443267132,FALSE,342,25.6564141035259,FALSE,FALSE
96,520590.78523569,47482.241577,9.12083788719063,FALSE,519,38.9347336834209,FALSE,FALSE
606,400820.767043462,164026.22589,40.9225866962662,TRUE,355,26.6316579144786,FALSE,TRUE
389,128686.820216917,16765.4663547,13.0281145547305,FALSE,317,23.7809452363091,FALSE,FALSE
346,275089.63280493,21268.177473381,7.73136277675087,FALSE,389,29.1822955738935,FALSE,FALSE
578,170133.018548506,67401.1329384,39.6167266727143,TRUE,269,20.1800450112528,FALSE,TRUE
77,446281.640165151,71730.061271,16.0728237093633,FALSE,382,28.6571642910728,FALSE,FALSE
264,155095.532673815,23219.4218179,14.9710448893027,FALSE,490,36.7591897974494,FALSE,FALSE
395,321103.995092678,16251.0117449,5.06098086391282,FALSE,422,31.6579144786197,FALSE,FALSE
591,612203.111265661,65723.426653,10.7355590724007,FALSE,505,37.8844711177794,FALSE,FALSE
202,250739.487960647,31014.896689,12.3693706728267,FALSE,525,39.3848462115529,FALSE,FALSE
