Seq_ID,DESI_ID,nseqs,sobs,chao,chao_lci,chao_hci,ace,ace_lci,ace_hci,invsimpson,invsimpson_lci,invsimpson_hci,npshannon,coverage,shannon,shannon_lci,shannon_hci
G001,188,1333,4,4.5,4.030262,12.261169,7,4.652242,17.798569,1.00603,1.000175,1.011953,0.032825,0.9985,0.023547,0.00334,0.043754
G002,424,1333,4,4.5,4.030262,12.261169,7,4.652242,17.798569,1.00603,1.000175,1.011953,0.032825,0.9985,0.023547,0.00334,0.043754
G004,112,1333,5,5.5,5.030262,13.261169,6.786667,5.193148,21.527141,1.010585,1.002815,1.018477,0.049481,0.9985,0.039509,0.014061,0.064958
G005,15,1333,14,21,15.340979,50.540456,54.301406,30.993331,109.578867,1.153589,1.121651,1.1874,0.390824,0.994749,0.362296,0.302741,0.42185
G006,248,1333,14,28,16.920488,81.112081,83.841269,50.017386,149.429117,1.235618,1.195192,1.278875,0.479005,0.993998,0.448923,0.390005,0.50784
G007,322,1333,14,17,14.39133,36.998494,18.157127,14.820734,35.056394,2.896058,2.808186,2.989608,1.216995,0.996999,1.200988,1.156697,1.245279
G008,442,1333,3,3,3,0,4.854595,3.229663,17.976415,1.015138,1.005855,1.024594,0.050476,0.99925,0.046616,0.022243,0.070989
G009,462,1333,12,21.333333,13.937063,56.970717,32,15.457745,127.682332,1.741226,1.680805,1.806153,0.701903,0.993998,0.67165,0.632826,0.710475
G010,85,1333,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773
G011,111,1333,7,9,7.249903,23.006186,13,9.052146,24.542611,1.012114,1.003792,1.020576,0.065588,0.996999,0.047085,0.018563,0.075608
G012,200,1333,6,7.5,6.149231,21.077277,21.03625,10.878813,52.340951,1.019768,1.009115,1.030648,0.079428,0.997749,0.066356,0.035304,0.097408
G013,366,1333,10,12.5,10.368021,26.982713,15,12.851187,18.768279,1.021342,1.01024,1.032691,0.104926,0.996249,0.080423,0.04381,0.117036
G014,323,1333,8,8.25,8.013038,12.793627,9.666667,8.52219,13.31948,1.065766,1.045861,1.086444,0.193303,0.9985,0.181207,0.135766,0.226647
G015,532,1333,7,8,7.072542,20.78512,8.032216,7.103595,17.284947,1.043298,1.027303,1.0598,0.142939,0.9985,0.13512,0.093112,0.177128
G016,425,1333,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773
G017,190,1333,5,5.5,5.030262,13.261169,7.222222,5.251778,24.613623,1.012108,1.003794,1.020562,0.053537,0.9985,0.043965,0.017559,0.070372
G018,36,1333,5,6.5,5.149231,20.077277,11,5.891606,45.376578,1.007546,1.000992,1.014186,0.042837,0.997749,0.029693,0.00688,0.052505
G019,199,1333,9,11,9.249903,25.006186,13.444444,9.773869,34.525099,1.024437,1.012542,1.036615,0.106949,0.996999,0.087705,0.050576,0.124834
G020,441,1333,6,7.5,6.149231,21.077277,10.5625,6.627919,39.151425,1.013638,1.004806,1.022627,0.063533,0.997749,0.050109,0.021671,0.078546
G021,533,1333,3,4,3.077375,15.924098,0,0,0,1.003009,0.998876,1.007176,0.020061,0.9985,0.012295,-0.002725,0.027314
G022,103,1333,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773
G023,365,1333,8,14,8.9584,45.5626,13.711111,8.942709,42.598996,1.02443,1.012541,1.036601,0.102113,0.996999,0.085285,0.04929,0.121279
G024,35,1333,8,11.333333,8.503451,30.06988,16.75,10.427616,39.538148,1.013644,1.004805,1.022641,0.075578,0.996249,0.053229,0.022818,0.083639
G025,86,1333,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0
G026,104,1333,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773
G027,22,1333,5,5.5,5.030262,13.261169,8,5.569395,20.806245,1.48234,1.427755,1.541265,0.53222,0.9985,0.523694,0.488598,0.558789
G028,17,1333,18,23,18.864775,46.909245,23.690103,19.245261,44.000378,1.305111,1.256002,1.358215,0.647098,0.995499,0.623088,0.55045,0.695726
G029,321,1333,10,20,11.917151,62.160726,25.379008,15.289788,54.711413,1.095715,1.071296,1.121273,0.266897,0.996249,0.248262,0.19671,0.299815
G030,313,1333,21,23.5,21.409254,36.271686,25.801782,22.157561,40.918697,1.140273,1.109634,1.172652,0.426853,0.995499,0.395548,0.326163,0.464933
G031,581,1333,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773
G032,108,1333,18,63.5,30.085622,189.298583,177.781266,86.350893,391.51455,1.907153,1.851127,1.966677,0.808294,0.989497,0.759655,0.716245,0.803065
G033,443,1333,3,4,3.077375,15.924098,0,0,0,1.003009,0.998876,1.007176,0.020061,0.9985,0.012295,-0.002725,0.027314
G034,351,1333,11,32,16.135936,96.865554,0,0,0,2.303577,2.235329,2.376125,0.996886,0.994749,0.974707,0.932204,1.01721
G035,91,1333,17,19,17.249903,33.006186,19.482463,17.427425,31.418013,2.065493,1.970059,2.170645,1.052483,0.996999,1.035123,0.972335,1.097912
G036,250,1333,8,8,8,8,8,8,8,1.104515,1.078772,1.131516,0.275673,1,0.272572,0.218981,0.326162
G037,249,1333,4,4,4,4,4,4,4,1.024385,1.01254,1.03651,0.077236,1,0.074994,0.044033,0.105956
G038,579,1333,8,9.5,8.149231,23.077277,11.265099,8.462802,31.03548,1.040096,1.024745,1.055913,0.139444,0.997749,0.126048,0.084985,0.167111
G039,34,1333,4,7,4.373525,28.094805,0,0,0,1.004518,0.999451,1.009636,0.030082,0.997749,0.018441,5.50E-05,0.036828
G040,423,1333,4,7,4.373525,28.094805,0,0,0,1.004518,0.999451,1.009636,0.030082,0.997749,0.018441,5.50E-05,0.036828
G041,16,1333,12,19.5,13.32254,54.5318,20.971154,13.704492,59.217344,1.092294,1.068375,1.117307,0.268563,0.995499,0.243286,0.191261,0.295312
G042,189,1333,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773
G043,198,1333,2,2,2,2,2,2,2,1.004515,0.999456,1.009625,0.016685,1,0.015969,0.000431,0.031507
G044,408,1333,8,8.6,8.050626,15.11091,10.625,9.248838,13.517629,1.016712,1.006914,1.026703,0.081089,0.997749,0.063433,0.030827,0.096039
G045,534,1333,4,7,4.373525,28.094805,0,0,0,1.004518,0.999451,1.009636,0.030082,0.997749,0.018441,5.50E-05,0.036828
G046,364,1333,6,9,6.39133,28.998494,16,7.126442,94.775079,1.009066,1.001877,1.016359,0.052842,0.996999,0.035837,0.010692,0.060982
G047,410,1333,5,5.5,5.030262,13.261169,6.786667,5.193148,21.527141,1.010585,1.002815,1.018477,0.049481,0.9985,0.039509,0.014061,0.064958
G048,33,1333,4,4,4,4,4,4,4,1.010584,1.002815,1.018474,0.042234,1,0.038469,0.013858,0.063081
G049,201,1333,9,14,9.777869,41.13908,24,10.342299,176.622885,1.672317,1.594608,1.757989,0.774089,0.996249,0.755907,0.70728,0.804535
G050,79,1333,9,15,9.954877,46.701174,15.840816,10.015773,55.070126,1.673402,1.60935,1.742763,0.688053,0.996999,0.673445,0.630153,0.716737
G051,317,1333,18,23.6,19.15542,45.141645,26.265951,20.152924,49.736347,1.06115,1.041881,1.081145,0.245921,0.993998,0.208406,0.152652,0.26416
G052,416,1333,4,5,4.075339,17.273425,12.892857,6.114914,41.392969,1.013622,1.004811,1.022589,0.052832,0.9985,0.04509,0.019824,0.070356
G053,557,1333,6,12,6.967351,43.21504,0,0,0,1.732412,1.674727,1.794213,0.646217,0.996999,0.632534,0.603945,0.661123
