Seq_ID,Shannon Index,Simpson Index,Chao1,Chao1 s.e.,Sob
G1,0.017180981,0.003731736,14.33333333,4.097400141,11
G10,0.006508932,0.001280909,9.5,2.552088928,8
G100,0.022193947,0.004970218,13,1.803368169,12
G100R,0.002668235,0.000491258,7,1.79062816,6
G101,1.286134705,0.563122065,46.5,1.874338593,45
G101R,1.299961284,0.597435429,38,3.414982469,35
G102,1.221761376,0.653861871,25,7.08942875,18
G103,0.769076201,0.428231584,32,1.812140769,31
G104,0.185536132,0.047567029,75.5,5.225535744,68
G104R1,0.124796284,0.030166395,62,4.132087474,57
G105,0.062733731,0.018598336,13,2.862967201,11
G105R1,0.129121045,0.044199885,6,0.228217732,6
G106,0.029846868,0.007070139,13,0.160128154,13
G107,1.074805952,0.637548824,25.25,5.35843565,20
G107R,1.073617022,0.638694288,19,3.409429648,16
G108,0.005805435,0.001155551,16.5,8.078802229,9
G109,0.252368737,0.103978837,21,3.410488025,18
G11,0.060075776,0.014106693,22.42857143,1.931515068,21
G110,0.01682507,0.003852711,8,0.233853587,8
G110R,0.019501534,0.004830988,9.2,0.61655424,9
G111,0.011250464,0.002480799,9.25,0.729665209,9
G112,0.022805793,0.005149749,14.5,1.023666313,14
G113,0.073048158,0.017987147,44.76923077,2.674770748,42
G114,0.084180393,0.023178249,41.3125,1.602036344,40
G115,0.006960086,0.001465363,11,4.114829059,8
G116,0.495409693,0.189610439,17.33333333,0.920124274,17
G117,0.080772088,0.02627357,29.33333333,8.832777443,20
G118,0.026411252,0.006056531,14.75,1.416295336,14
G119,0.526957072,0.331193964,9,0,9
G12,0.063175755,0.01597917,17,1.806849712,16
G120,0.436193042,0.211376875,31,3.685003568,27
G121,0.029558312,0.006889713,28.33333333,8.831431949,19
G122,0.878153009,0.367313676,54.6,1.058849331,54
G123,0.02320969,0.004909257,19,0.060833033,19
G124,0.695749514,0.393396175,27.25,0.734428373,27
G125,0.016302627,0.003615681,15.5,3.146298388,13
G126,0.154150339,0.058594248,16,0.080687153,16
G127,0.009438571,0.001991759,8,0.155902391,8
G128,0.92056666,0.295113692,113.4,3.557206275,109
G129,0.021390602,0.004432611,22.42857143,1.931515068,21
G13,0.087223468,0.022178835,24.2,1.836702039,23
G130,0.583315471,0.325479438,20.33333333,0.92103749,20
G131,1.435401044,0.710138134,40,1.448943581,39
G132,0.00443144,0.000830338,8.2,0.615934745,8
G133,1.930627836,0.75294521,89.15384615,1.523548481,88
G134,0.179325789,0.055522926,26.75,4.19809651,23
G135,0.004551633,0.000955637,10,4.107919181,7
G136,0.507816729,0.170956324,42.66666667,1.146055441,42
G137,0.51989332,0.276556989,12.5,2.563201124,11
G138,0.087351035,0.026272247,17,0.069295893,17
G139,0.691968309,0.3700689,29,0,29
G14,0.22470618,0.073796775,22.5,1.289379696,22
G140,1.2216947,0.538599295,103.8,5.793824265,96
G141,0.666604852,0.420349942,41,7.607153245,32
G142,0.392147032,0.161734468,13.33333333,0.918264601,13
G143,0.364632563,0.147224354,18.5,3.14889513,16
G144,0.439793546,0.256115293,12,0.119678388,12
G145,0.696452198,0.456630011,35.42857143,1.932848538,34
G146,0.044343216,0.011631791,8,0,8
G147,1.382024351,0.642848063,45.1,2.333976556,43
G148,1.044381208,0.373325224,64.5,3.915802313,60
G149,0.015936761,0.00365219,8.5,1.273312031,8
G15,0.113900711,0.03521507,11,0.119182824,11
G150,0.635076111,0.401443605,15.5,1.284994038,15
G151,0.881244181,0.391327873,54.27272727,3.085883961,51
G152,0.165638175,0.061386431,14,0.080302009,14
G153,1.115044803,0.573987845,55.14285714,4.649462612,50
G154,0.006551756,0.001330233,8,0.093541435,8
G155,0.014940101,0.003278615,13,4.12543704,10
G156,0.882483691,0.526073687,38.90909091,1.345994269,38
G157,0.717201764,0.500522083,17,0,17
G158,0.025921689,0.005325715,23.2,1.836503424,22
G159,0.926013803,0.409361757,40.625,2.82583205,38
G159R,1.377135309,0.599772004,50.6,5.342728352,45
G16,0.00613051,0.001243059,8.5,2.546624063,7
G160,0.775081437,0.437924643,21,0,21
G161,0.125707791,0.033023805,24.2,0.619693339,24
G162,0.01096905,0.002434223,9.5,2.552088928,8
G163,0.92402851,0.412698937,93.07692308,4.036067811,88
G164,0.635125618,0.413875935,24.42857143,1.931812674,23
G165,0.595528599,0.341333651,19,0.069523466,19
G166,0.690337456,0.454552152,23,1.577697827,22
G167,1.358734773,0.672904035,39.54545455,2.605953138,37
G168,0.784863849,0.513370036,24.5,2.225561727,23
G169,0.014298802,0.003287508,13,4.12543704,10
G17,0.031227834,0.007954273,8,0.233853587,8
G170,0.691360555,0.433251628,35.85714286,1.393721362,35
G171,0.096939717,0.028317899,22.125,0.44286305,22
G172,0.534773357,0.223791668,64.6875,4.188071965,59
G173,0.027553633,0.007233861,12,1.802133509,11
G174,0.258194469,0.077248585,58.5,4.508804303,53
G175,0.021718258,0.005107141,12.6,1.180508365,12
G176,0.01943178,0.004640132,10.5,1.278252155,10
G177,0.006903364,0.001319261,13,1.575045787,12
G178,0.06176979,0.018284714,8,0.233853587,8
G179,1.191776285,0.488710479,63.33333333,2.422773255,61
G18,0.028586362,0.006470199,31.25,9.531977431,20
G180,0.546797013,0.196919806,70,2.750826716,67
G181,0.729851815,0.433679228,28.85714286,1.393316978,28
G182,0.005453161,0.001031105,9,0.11785113,9
G183,0.003068893,0.000621182,4,0.216506351,4
G184,0.211506656,0.077991615,29,1.448542668,28
G185,1.129613053,0.480015691,41.42857143,1.933181585,40
G186,0.004831073,0.000964349,7,2.22003861,6
G187,0.618466134,0.400839234,16.33333333,0.919745054,16
G188,0.549442961,0.338213923,20.33333333,4.106887507,17
G189,0.62178389,0.204166107,50,0.070710678,50
G19,0.109392401,0.029382243,26.11111111,1.57381009,25
G190,0.297808043,0.130732931,15.25,0.732506015,15
G191,0.112924985,0.032236352,32.5,3.44151863,29
G192,0.05499775,0.015904182,21.25,1.729910291,20
G193,0.8442847,0.250258037,102.5714286,2.514977247,100
G194,1.162553475,0.431294516,120.5714286,4.241180548,115
G195,0.035733661,0.01009776,11.6,1.179997078,11
G196,0.139268849,0.032682027,60.27272727,3.086032346,57
G197,0.117337518,0.029512965,32.66666667,2.202318389,31
G198,0.105756374,0.034229907,48.66666667,7.996982743,37
G199,1.286451366,0.660923315,36.66666667,2.202683994,35
G2,0.042245028,0.009672197,16,0,16
G20,0.041914259,0.010599716,14.2,0.618339439,14
G200,0.628553569,0.40086709,19.16666667,0.541804454,19
G201,0.844073611,0.507418869,14,0,14
G202,0.041246084,0.009606303,20,1.57718103,19
G203,0.035307681,0.00933772,28,13.59884449,13
G204,0.012781458,0.002787347,10,0.158113883,10
G205,0.712578863,0.487844223,16.75,1.417199289,16
G206,0.7405554,0.504878798,14,0.096362411,14
G207,0.693210203,0.474122022,14.5,1.284019819,14
G208,0.09775573,0.035086972,20,5.510595854,15
G209,0.701385811,0.478722351,19,4.547989724,16
G21,0.010465603,0.002103782,11,0.095346259,11
G210,0.351308433,0.152161004,19.85714286,1.392377673,19
G211,1.252367994,0.614954446,32.54545455,0.986588247,32
G212,0.765761138,0.505225032,25,6,20
G213,0.582278779,0.303371013,6,0,6
G214,0.023955437,0.004981429,28.6,3.353499581,25
G215,0.09515296,0.034325137,22.25,5.356050835,17
G216,0.129377596,0.038365258,16,0,16
G217,1.306234267,0.605979104,36,4.60298816,33
G218,0.420073199,0.238014018,18,2.577789751,16
G219,0.966987397,0.574823059,28.5,1.873604744,27
G22,0.005459211,0.001049194,12,4.120578438,9
G220,0.17013851,0.065384526,11.25,0.7309502,11
G221,0.737381964,0.487007245,23.875,2.253864584,22
G222,0.814748054,0.525739127,24.66666667,2.201231095,23
G223,0.018013888,0.003928409,23,3.88407894,19
G224,0.057841538,0.01702105,8,2.236067977,7
G225,0.017404995,0.003995212,8,2.236067977,7
G226,0.750107473,0.507609803,25,3.41209613,22
G227,1.157902628,0.573614615,72.3125,1.602329316,71
G228,0.03718259,0.010544439,7,0.231455025,7
G229,0.002040843,0.000386359,4,0.216506351,4
G23,0.076954901,0.019513167,33.11111111,3.098994023,30
G230,0.007611582,0.001524878,10.75,1.413474659,10
G231,0.496184755,0.225703247,42.27272727,3.085460785,39
G232,0.777656583,0.507869442,19.25,0.733413729,19
G233,0.053688235,0.013952166,23,5.995922528,18
G233R,0.058893732,0.015304524,22.66666667,2.200839218,21
G234,1.720459024,0.670870438,49.375,0.825976434,49
G235,0.008043999,0.001704922,9.5,2.552088928,8
G236,0.549927963,0.273791914,19.75,1.253461386,19
G237,0.05550178,0.015863993,17.5,1.024307741,17
G238,0.066487775,0.016156302,25.75,1.419526727,25
G239,2.423927657,0.844915815,79.07142857,1.439624791,78
G24,0.046032336,0.010718778,17,0.09701425,17
