Seq_ID,Lactobacillus_crispatus,Lactobacillus_iners,Lactobacillus_gasseri,Lactobacillus_jensenii,Atopobium_vaginae,Prevotella_bivia,Catonella_morbi,Lactobacillus_delbrueckii,Anaerococcus_tetradius,Streptococcus_anginosus,Streptococcus_agalactiae,Prevotella_timonensis,Alloscardovia_omnicolens,Megasphaera_sueciensis,Lactobacillus_acidophilus,Finegoldia_magna,Prevotella_disiens,Prevotella_amnii,Lactobacillus_vaginalis,Anaerococcus_vaginalis,Mycoplasma_hominis,Dialister_micraerophilus,Lactobacillus_coleohominis,Peptoniphilus_harei,Aerococcus_christensenii,Anaeroglobus_geminatus,Enterococcus_faecalis,Ureaplasma_parvum,Bacteroides_fragilis,Anaerosphaera_aminiphila,Unclassified,Peptoniphilus_lacrimalis,Peptostreptococcus_anaerobius,Dialister_invisus,Parvimonas_micra,Gardnerella_vaginalis,Prevotella_oris,Shuttleworthia_satelles ,Shuttleworthia_satelles,Peptoniphilus_ivorii,Prevotella_histicola,Bifidobacterium_breve,Peptoniphilus_gorbachii,Escherichia/Shigella_dysenteriae,Ureaplasma_urealyticum,Lactobacillus_taiwanensis,Prevotella_denticola,Staphylococcus_epidermidis,Streptococcus_sanguinis,Lactobacillus_rhamnosus,Lactobacillus_paracasei,Porphyromonas_uenonis,Peptoniphilus_duerdenii,Solobacterium_moorei,Actinobaculum_schaalii,Prevotella_corporis,Prevotella_buccalis,Anaerococcus_lactolyticus,Gemella_asaccharolytica,Atopobium_rimae,Peptococcus_niger,Lachnoanaerobaculum_umeaense,Escherichia/Shigella_flexneri,Actinobaculum_massiliense,Dialister_propionicifaciens,Sneathia_sanguinegens,Anaerococcus_murdochii,Fusobacterium_nucleatum,Porphyromonas_somerae,Bulleidia_extructa,Prevotella_oulorum,Streptococcus_urinalis,Klebsiella_pneumoniae,Mobiluncus_mulieris,Mobiluncus_curtisii,Actinomyces_neuii,Mogibacterium_timidum,Lactobacillus_ultunensis,Pseudomonas_hibiscicola,Atopobium_minutum
DL_1,1,0,0,6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_10,0,6313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_100,3672,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_101,4944,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_102,7984,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_103,38274,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_104,2252,61,376,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_105,1567,38,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_106,1402,252,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL_107,2302,450,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
