"Seq_ID","Lactobacillus_crispatus","Lactobacillus_iners","Lactobacillus_gasseri","Lactobacillus_jensenii","Atopobium_vaginae","Prevotella_bivia","Catonella_morbi","Lactobacillus_delbrueckii","Anaerococcus_tetradius","Streptococcus_anginosus","Streptococcus_agalactiae","Prevotella_timonensis","Alloscardovia_omnicolens","Megasphaera_sueciensis","Lactobacillus_acidophilus","Finegoldia_magna","Prevotella_disiens","Prevotella_amnii","Lactobacillus_vaginalis","Anaerococcus_vaginalis","Mycoplasma_hominis","Dialister_micraerophilus","Lactobacillus_coleohominis","Peptoniphilus_harei","Aerococcus_christensenii","Anaeroglobus_geminatus","Enterococcus_faecalis","Ureaplasma_parvum","Bacteroides_fragilis","Anaerosphaera_aminiphila","Unclassified","Peptoniphilus_lacrimalis","Peptostreptococcus_anaerobius","Dialister_invisus","Parvimonas_micra","Gardnerella_vaginalis","Prevotella_oris","Shuttleworthia_satelles","Shuttleworthia_satelles_1","Peptoniphilus_ivorii","Prevotella_histicola","Bifidobacterium_breve","Peptoniphilus_gorbachii","Escherichia/Shigella_dysenteriae","Ureaplasma_urealyticum","Lactobacillus_taiwanensis","Prevotella_denticola","Staphylococcus_epidermidis","Streptococcus_sanguinis","Lactobacillus_rhamnosus","Lactobacillus_paracasei","Porphyromonas_uenonis","Peptoniphilus_duerdenii","Solobacterium_moorei","Actinobaculum_schaalii","Prevotella_corporis","Prevotella_buccalis","Anaerococcus_lactolyticus","Gemella_asaccharolytica","Atopobium_rimae","Peptococcus_niger","Lachnoanaerobaculum_umeaense","Escherichia/Shigella_flexneri","Actinobaculum_massiliense","Dialister_propionicifaciens","Sneathia_sanguinegens","Anaerococcus_murdochii","Fusobacterium_nucleatum","Porphyromonas_somerae","Bulleidia_extructa","Prevotella_oulorum","Streptococcus_urinalis","Klebsiella_pneumoniae","Mobiluncus_mulieris","Mobiluncus_curtisii","Actinomyces_neuii","Mogibacterium_timidum","Lactobacillus_ultunensis","Pseudomonas_hibiscicola","Atopobium_minutum"
"DL_1",-0.108818710248597,-0.108818710248597,-0.108818710248597,8.59667810963914,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597,-0.108818710248597
"DL_10",-0.129497552385022,8.6208687259826,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,1.47994036004908,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022,-0.129497552385022
"DL_100",8.08348861147828,1.66675632896595,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105,-0.125003140262105
"DL_101",8.32613417687606,3.75202981046286,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,1.76611432679385,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465,-0.179795822261465
"DL_102",8.82917353824808,3.34048628172326,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222,-0.156021279743222
"DL_103",10.3212074324151,5.524423552532,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,1.96590591628131,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914,-0.231318661054914
"DL_104",7.39601794110285,3.78731781601658,5.60603309523316,6.41459644643922,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,1.06273831296316,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733,-0.323556048156733
"DL_105",7.19202163011329,3.47268954748365,-0.164896612242733,2.03232796509349,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733,-0.164896612242733
"DL_106",7.03895151420954,5.32272553412643,-0.206703553384994,3.55449656230857,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994,-0.206703553384994
"DL_107",7.51621898375756,5.88393297724009,-0.225314605524273,3.94907266437136,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273,-0.225314605524273
