,Feature Name,m/z,Retention Time,m/z - Minimum,m/z - Maximum,Retention Time - Minimum,Retention Time - Maximum,Exclusion Details,User Excluded
0,210.73_78.9574m/z,78.9574400060729,3.5121083259584998,78.9558286781117,78.961187184512,203.44499588009998,218.24100494382,,False
1,159.34_96.9601m/z,96.9601074330542,2.6556665897364997,96.95632725984319,96.962760983717,150.96399307248,174.80299472808,,False
2,209.89_96.9675m/z,96.96752774324659,3.498233318329,96.96597670297649,96.9693983732375,197.439994812,218.24100494382,,False
3,226.64_96.9675m/z,96.967533239607,3.7773833274840003,96.9660112326083,96.9693844431712,218.69599342343997,244.40700531006001,,False
4,91.39_119.0494m/z,119.049359220226,1.5231000185010002,119.047929123246,119.05433979182399,89.0549969673,95.0079989433,,False
5,92.72_152.9951m/z,152.995115394996,1.5452666878699999,152.992829070812,152.997525651306,83.66400003432,107.2390007973,,False
6,134.31_171.1016m/z,171.101569892348,2.2385001182560003,171.099874484269,171.104113011634,126.07200622559999,135.49600124358,,False
7,70.43_171.138m/z,171.138040359735,1.173900008202,171.136187859269,171.140947359042,66.86300039292,71.2720012665,,False
8,76.44_183.0111m/z,183.01112982161098,1.274016618729,183.00864406571498,183.01381068036,74.94300127032,83.60399723052,,False
9,90.49_183.0111m/z,183.01113435527,1.5081499814989998,183.008695731287,183.013788913077,83.6610031128,98.93199920652,,False
10,63.46_183.0111m/z,183.011120533344,1.057733297348,183.00813289809602,183.013746267696,54.402998685840004,69.8359966278,,False
11,106.1_183.0111m/z,183.01111809267,1.7683833837510001,183.008339657638,183.013745561202,99.03400182726,124.79999542236,,False
12,76.95_184.0148m/z,184.014818612053,1.282533288002,184.012083634628,184.017824736832,74.92999792098,80.02199649810001,,False
13,91.42_184.0148m/z,184.014811577653,1.5236166715619999,184.01314642264998,184.018272949421,88.617002964,94.62600231168001,,False
14,127.83_187.0965m/z,187.09647729038002,2.1305000782010004,187.094816694153,187.09955871184502,117.86999702453998,135.5280017853,,False
15,85.57_197.0269m/z,197.026879259123,1.4262416958809998,197.02494582464,197.030457915906,78.9949965477,93.6240005493,,False
16,72.09_197.0269m/z,197.02688511258498,1.201516628265,197.024491037118,197.031058918351,65.52399873732,78.78200054166,,False
17,115.53_199.006m/z,199.006043643549,1.925566673279,199.002912266836,199.008781992836,108.59499692916,120.84400177001999,,False
18,131.33_199.006m/z,199.006009058369,2.188783407211,199.003206111997,199.008406680082,124.11900043488001,139.96200084683997,,False
19,147.24_199.006m/z,199.006012068398,2.4539333581925002,199.00274928368,199.008523718499,140.060005188,161.83300495146003,,False
20,131.59_199.1328m/z,199.132805480731,2.1931166648865,199.131313360356,199.13604577256302,124.24399852751999,133.45099925994,,False
21,101.22_199.1691m/z,199.16910969371602,1.6869833469390003,199.16654077572898,199.172731238534,99.67799663544001,102.00599670408,,False
22,662.92_199.1691m/z,199.169084305649,11.048683166504,199.166620331217,199.170781969963,656.65197372438,671.82901382448,,False
23,435.0_199.1693m/z,199.16927180499002,7.250041723251001,199.16670546863898,199.170651689155,432.2169971466,436.50000572202003,,False
24,300.42_199.1693m/z,199.16927797714402,5.006991624832,199.167113119691,199.17052579181998,297.03300476076,301.67698860167997,,False
25,101.12_200.1726m/z,200.17260936447101,1.685349941254,200.170849948243,200.17692521986197,99.66399908064001,111.72800302506,,False
26,101.1_201.1752m/z,201.175240344641,1.684983372688,201.172845935038,201.17672811959,99.90700006482,101.91699743267999,,False
27,107.1_205.1586m/z,205.15855615673402,1.785050034523,205.155640646621,205.161583019141,105.60700178148001,107.8649997711,,False
28,152.36_205.1949m/z,205.19494929799998,2.539299964905,205.19250747670102,205.19644982924,148.49400043488,158.07899951934,,False
29,116.75_213.0212m/z,213.02120590472802,1.945799946785,213.018158011196,213.02278513667198,110.13999938963998,120.91299533844,,False
30,117.93_213.1848m/z,213.18478755419898,1.965499997139,213.18216846845002,213.187260799272,103.30299854280001,121.96300506594,,False
31,126.53_213.1849m/z,213.184885064859,2.108783245087,213.182493032516,213.18664969711998,124.92899894712,127.38700389863999,,False
32,94.46_221.1534m/z,221.15344276081902,1.5743333101269998,221.15027223632902,221.15680289372898,81.41499996186,97.59899854661998,,False
33,662.26_221.1532m/z,221.153195116676,11.037708282470998,221.15107630024102,221.156314275179,656.71199798586,671.6909980774201,,False
34,692.47_221.1532m/z,221.15324405549802,11.541233062744,221.15099790791,221.15595605513303,687.2349929809799,700.3070068359599,,False
35,645.34_221.1532m/z,221.153192051794,10.75564956665,221.149960545841,221.15593930438098,639.12998199462,649.6259880066,,False
36,714.4_221.1532m/z,221.15318589587397,11.906583786011,221.150622800816,221.15521060365,710.2619934082201,718.09301376342,,False
37,652.84_221.1532m/z,221.153235180928,10.8807249069215,221.15148442673998,221.156624083194,650.10400772094,656.03702545164,,False
38,631.25_221.1533m/z,221.15327946625703,10.520883560181,221.150600713293,221.15643889577998,623.2830047607599,638.8949775696,,False
39,160.3_221.1537m/z,221.153709326507,2.6716666221620002,221.150656360139,221.155271509867,144.32700634001998,170.35699367526001,,False
40,218.85_221.1537m/z,221.153695334478,3.6475583314895,221.152121793908,221.155268214768,209.58499431612,219.83699798586002,,False
41,94.44_222.1569m/z,222.156935320101,1.5739166736599999,222.15445025521402,222.16018005794498,93.0500006676,95.29799938200001,,False
42,652.83_223.1331m/z,223.133086192473,10.880416870117,223.13069233476003,223.134257585202,650.08398056028,656.27002716066,,False
43,662.37_223.1331m/z,223.133092124851,11.039499759674,223.131055334014,223.134268000457,656.72401428222,671.6970062255999,,False
44,113.84_225.1847m/z,225.184730292421,1.897349953651,225.181827448522,225.188702768097,109.58699941638001,121.33299350736,,False
45,136.16_227.2004m/z,227.200373983936,2.26936674118,227.197936606543,227.202673928639,129.55800533292,146.13099575040002,,False
46,79.34_227.2006m/z,227.20063637177898,1.322250008583,227.19893232199,227.204260022845,74.51299667358,92.71099805831999,,False
47,136.05_227.2422m/z,227.242194849948,2.2675082683565,227.24023041571098,227.24477996859298,134.28700447079999,137.03899383546002,,False
48,136.12_228.2037m/z,228.20366226113097,2.268625020981,228.20036714994302,228.20577860437302,126.56799316403999,145.09899616241998,,False
49,136.12_229.2065m/z,229.20650919482202,2.2687499523160004,229.20399139504903,229.209862163698,134.30099487306,146.29899501798,,False
50,70.14_233.1535m/z,233.15348083117502,1.1690666675569998,233.151361724857,233.158025612309,64.21199798586,71.06300354004,,False
51,662.08_233.1541m/z,233.154079411848,11.03471660614,233.15175734511502,233.156599404017,659.2529869079401,671.5969848633,,False
52,70.08_234.1571m/z,234.157072626694,1.1679999828340002,234.154966286691,234.15910452444598,69.19499874114,70.83199739454001,,False
53,92.72_235.1692m/z,235.169246810168,1.545349955559,235.16735578097698,235.174092925811,91.18899822234002,95.94700098035999,,False
54,612.96_236.1041m/z,236.104132576766,10.21605014801,236.10250073050702,236.10528907745498,602.2960281372,622.0659828186,,False
55,677.71_236.1042m/z,236.10415910490102,11.295216560364,236.10181923871602,236.10619644414902,671.83502197266,687.40299224856,,False
56,662.31_236.1041m/z,236.10412863547901,11.038508415222,236.101832154726,236.10652867679698,656.4939880370999,671.46297454836,,False
57,692.29_236.1042m/z,236.104187972338,11.538249969481999,236.102457174521,236.108381640335,687.5269889831401,700.4949760436999,,False
58,645.36_236.1041m/z,236.10410137393998,10.7559747695925,236.101980508435,236.106539391569,639.04500961302,649.87701416016,,False
59,705.22_236.1042m/z,236.104170355754,11.753700256347999,236.101971943001,236.106066231776,700.7189941406401,710.1819992065201,,False
60,652.83_236.1042m/z,236.104151129513,10.8805418014525,236.102154531268,236.106912100318,650.08398056028,656.27700805662,,False
61,630.8_236.1041m/z,236.10414753077998,10.513349533080998,236.101925978352,236.10678211439898,622.36799240112,638.7639999389401,,False
62,160.3_236.1045m/z,236.104461095565,2.6716666221620002,236.10183600581902,236.10639880694902,154.20800685882,169.24099445346002,,False
63,218.92_236.1045m/z,236.104529361717,3.6486999988560003,236.101894490831,236.10683528270002,209.35599803922,220.05300521849998,,False
64,596.07_236.104m/z,236.10404402590302,9.934516906738,236.102319308492,236.105630655572,590.0760269164799,602.21099853516,,False
65,65.39_236.1044m/z,236.104442689087,1.089758336544,236.101901527982,236.108749540444,60.652999877940005,66.57099723816,,False
66,92.7_236.1727m/z,236.17269171577098,1.5450583696365001,236.16911487289397,236.17504029077003,91.20700120926,93.60400199892,,False
67,285.81_236.902m/z,236.901965127218,4.763583183289,236.900083572434,236.905144545217,266.48200035096,312.05300331114,,False
68,173.87_237.2213m/z,237.221310145405,2.8978834152225,237.219049300371,237.223389232956,171.55899524688,174.76399898531997,,False
69,131.26_239.2004m/z,239.20039312604302,2.1876249313355,239.196442492725,239.202772538642,126.51599407193999,139.05700206756,,False
70,132.29_241.053m/z,241.052963684964,2.204783320427,241.049375411713,241.05427826073398,124.80500221254,140.87699890134,,False
71,116.72_241.053m/z,241.05298491302503,1.9453833103180003,241.050813916072,241.05646221820302,109.61000204088002,121.12900257108,,False
72,153.2_241.216m/z,241.21596212517898,2.5532833337785004,241.212673846442,241.218375455563,141.96099758148,155.07599830626,,False
73,164.25_241.2162m/z,241.21615299085,2.7374249696735,241.21362836187,241.218766123736,160.24000167846,174.23499584196,,False
74,612.92_241.216m/z,241.215987034483,10.215324878693,241.213771812872,241.218675871697,605.75500488282,620.55999755862,,False
75,177.34_242.1751m/z,242.17508799019402,2.9556167125705004,242.171823023463,242.177753360779,174.98800277712,178.46300125121996,,False
76,167.34_242.1752m/z,242.175180415336,2.7889666557310004,242.171748664012,242.17766820118197,165.15900135042,168.33300590514,,False
77,153.66_242.2194m/z,242.219428710732,2.5609416961669997,242.216543203182,242.22276134509602,137.70399570468,164.69900608062,,False
78,63.83_243.1955m/z,243.195519836007,1.0638416409495,243.193523524707,243.197144903078,52.31699824332,78.95399808882,,False
79,153.99_243.2224m/z,243.222404304945,2.5665667057039996,243.218939869011,243.224239468914,146.9409942627,154.97700691224,,False
80,88.54_250.1438m/z,250.14379374300898,1.4756916761399999,250.140829348225,250.14727311353698,87.17499732972,89.42899703982,,False
81,88.49_251.1472m/z,251.14718114539698,1.474866628647,251.14560900596803,251.15116846244499,87.17499732972,89.344997406,,False
82,124.15_251.2005m/z,251.20049373614398,2.069099903107,251.197761050944,251.204252791502,122.0539999008,132.80699729922,,False
83,145.14_253.1674m/z,253.167422531218,2.418983221054,253.16431829925,253.17130666748798,143.28400611876,150.40999889376002,,False
84,145.67_253.216m/z,253.216031240728,2.427883386612,253.213488750323,253.21923854526798,136.70399665829999,173.41800212862,,False
85,91.89_253.2162m/z,253.21622201404801,1.5314333438875,253.213438617591,253.220266798845,80.67500352858,106.67500019076,,False
86,404.04_253.2161m/z,253.21610224897898,6.7340581417085,253.213890832598,253.218438378489,384.13799285886,420.72601318362,,False
