Seq_ID,CST_11,CST,SilhouetteValues,LactobacillusPercentage,LDominant_CST,LDominant_RelAbundance
G157,IV - Gardnerella + L. gasseri,IV,0.6524204567162798,46.41584303927692,LDepleted,LDepleted
G250,IV - Gardnerella + L. gasseri,IV,0.4836244480768717,29.774688714671587,LDepleted,LDepleted
G227,IV - Gardnerella + L. gasseri,IV,0.49329474130443635,53.812248233989145,LDepleted,LDepleted
G505,I,I,0.8833051129955638,100.0,LDominant,LDominant
G400,I,I,0.8837068426997378,99.97281658964701,LDominant,LDominant
G517,I,I,0.884015372380316,100.0,LDominant,LDominant
G370,III,III,0.5197528818921803,99.76501448166567,LDominant,LDominant
G398,IV - Gardnerella + L. gasseri,IV,-0.24912066150974557,89.22017288401979,LDepleted,LDominant
G392,IV - Gardnerella + L. gasseri,IV,0.39757198444447345,25.341294174600616,LDepleted,LDepleted
G116,IV - Gardnerella,IV,0.3743930463787432,0.13075634372573858,LDepleted,LDepleted
G067,V,V,0.6330148697735313,80.47227595099935,LDominant,LDepleted
G268,V - Mix L.iners,V,0.5755961018866187,99.74551253774897,LDominant,LDominant
G298,V - Mix L.iners,V,0.6957687924277656,99.4303369701651,LDominant,LDominant
G200,V - Mix L.iners,V,0.5493487434007113,99.66148582244385,LDominant,LDominant
G005,I,I,0.7797512217360469,98.46926279696302,LDominant,LDominant
G041,I,I,0.8102533614862951,97.07380513709765,LDominant,LDominant
G028,I,I,0.7264000573416873,96.89699801130087,LDominant,LDominant
G335,I,I,0.5654303666530964,99.93667789194946,LDominant,LDominant
G267,I,I,0.6729082533385358,99.97778703318062,LDominant,LDominant
G119,I,I,0.6280149331062594,100.0,LDominant,LDominant
G096,I,I,0.5171355084271535,99.99722461213955,LDominant,LDominant
G027,I,I,0.6206206950168033,99.98422028482385,LDominant,LDominant
G503,I,I,0.8682179552125157,99.98939067086324,LDominant,LDominant
G358,I,I,0.8834984233466996,99.94989067055393,LDominant,LDominant
G356,I,I,0.8561331623366445,99.01764332144079,LDominant,LDominant
G135,III,III,0.7393239219886218,100.0,LDominant,LDominant
G154,III,III,0.7399863970014522,99.98935235712194,LDominant,LDominant
G064,III,III,0.7395216758084233,99.97496348842061,LDominant,LDominant
G305,I,I,0.3385292168702555,51.884288747346076,LDominant,LDepleted
G287,I,I,0.06290652879967393,81.57551636588211,LDominant,LDepleted
G059,I,I,0.8844329227282198,99.99316402912125,LDominant,LDominant
G085,I,I,0.8822887530163682,99.96085492836451,LDominant,LDominant
G048,I,I,0.8711291000142094,99.68275549512803,LDominant,LDominant
G039,I,I,0.8829798732828968,99.9656029046436,LDominant,LDominant
G024,I,I,0.8711173930775749,99.58881185751852,LDominant,LDominant
G018,I,I,0.8798901800134774,99.8378393491207,LDominant,LDominant
G221,V - Mix L.iners,V,0.5916230939384591,99.85369767332107,LDominant,LDominant
G226,V - Mix L.iners,V,0.7008736779887751,99.76081919425967,LDominant,LDominant
G232,V - Mix L.iners,V,0.684152069642666,99.74674913553791,LDominant,LDominant
G361,III,III,0.4670397139416934,97.31962918178154,LDominant,LDominant
G385,III,III,0.6199633500045297,98.66124790819985,LDominant,LDominant
G511,III,III,0.4681438086135685,98.29325676915101,LDominant,LDominant
G360,III,III,0.6656672531674335,97.66612072999533,LDominant,LDominant
G440,III,III,0.7314204279090815,99.74521602428578,LDominant,LDominant
G438,III,III,0.65335422468743,97.30063514467184,LDominant,LDominant
G495,V,V,0.657590105407725,89.54585482450624,LDominant,LDominant
G428,V,V,0.6562399823566899,85.97403836976234,LDominant,LDominant
G561,V,V,0.533666568079966,65.3569886564352,LDominant,LDepleted
G554,III,III,0.7379151720645094,99.96312231100184,LDominant,LDominant
G530,III,III,0.738331512003358,99.98650047248347,LDominant,LDominant
G542,III,III,0.7366387868407713,99.9379859752898,LDominant,LDominant
G060,I,I,0.3347915523044853,84.04436655222914,LDominant,LDepleted
G104,III,III,0.6591901177374091,97.90328609780133,LDominant,LDominant
G174,III,III,0.6077130829115831,96.2171906153552,LDominant,LDominant
G144,III,III,0.5016918856108976,99.9821914671687,LDominant,LDominant
G092,III,III,0.6019546427689518,97.69343140521285,LDominant,LDominant
G261,III,III,0.598617533923228,99.69276780859163,LDominant,LDominant
G545,VI - Bifidobacterium,VI,0.5463502159731822,3.4570459683496613,LDepleted,LDepleted
G452,VI - Bifidobacterium,VI,0.5496686982227337,2.7708889736741704,LDepleted,LDepleted
G459,VI - Bifidobacterium,VI,0.5489852193057458,2.9896745660009403,LDepleted,LDepleted
G109,I,I,0.7906817617286286,99.97646267652993,LDominant,LDominant
G152,I,I,0.8285248207093133,100.0,LDominant,LDominant
G190,I,I,0.766576424606051,99.98891741628032,LDominant,LDominant
G352,IV - Mix Anaerobes/Other Lactobacilli,VII,0.18047836457598815,63.49045691150954,LDominant,LDepleted
G541,IV - Mix Anaerobes/Other Lactobacilli,VII,0.1720262616577395,55.884628135705604,LDominant,LDepleted
