Seq_ID,CST_11,CST,SilhouetteValues,LactobacillusPercentage,LDominant_CST,LDominant_RelAbundance
DL_531,III,III,0.6151814351340289,99.76490870621426,LDominant,LDominant
DL_530,III,III,0.5868807556413995,100.0,LDominant,LDominant
DL_532,V,V,0.641624348923766,99.98542698921598,LDominant,LDominant
DL_533,V,V,0.6503499661856547,99.94137476183496,LDominant,LDominant
DL_537,I,I,0.17633452914400097,100.0,LDominant,LDominant
DL_536,I,I,0.42380441695556026,99.87891368275385,LDominant,LDominant
DL_534,I,I,0.7549528466701513,100.0,LDominant,LDominant
DL_535,I,I,0.5629260897029842,100.0,LDominant,LDominant
DL_62,I,I,0.8196238107022852,99.95964691046659,LDominant,LDominant
DL_58,V,V,0.5270762862176491,100.0,LDominant,LDominant
DL_60,V,V,0.5250339483069211,100.0,LDominant,LDominant
DL_59,V,V,0.5264595087195872,100.0,LDominant,LDominant
DL_61,V,V,0.6376791924850451,100.0,LDominant,LDominant
DL_64,II,II,0.7844054426720868,99.98268698060942,LDominant,LDominant
DL_63,II,II,0.7623002695279409,99.23456541444254,LDominant,LDominant
DL_66,III,III,0.5828841574695964,100.0,LDominant,LDominant
DL_261,I,I,0.8331131356570493,99.90764684152198,LDominant,LDominant
DL_263,IV,IV,0.05791283066986338,0.05991611743559017,LDepleted,LDepleted
DL_262,IV,IV,0.08224064629756705,0.0,LDepleted,LDepleted
DL_570,III,III,0.8272249496697174,99.96155324875048,LDominant,LDominant
DL_571,III,III,0.4314417457546475,100.0,LDominant,LDominant
DL_471,I,I,0.8748826233715189,100.0,LDominant,LDominant
DL_472,I,I,0.872336779292643,100.0,LDominant,LDominant
DL_475,III,III,0.8341687366955813,100.0,LDominant,LDominant
DL_473,III,III,0.8343347050014048,99.99561615010302,LDominant,LDominant
DL_474,III,III,0.8320269076640174,99.97765862377122,LDominant,LDominant
DL_218,V,V,0.5171319325520738,100.0,LDominant,LDominant
DL_220,V,V,0.6435360739990819,100.0,LDominant,LDominant
DL_219,V,V,0.6493308587802675,99.86411365040149,LDominant,LDominant
DL_221,V,V,0.5342852615736904,99.96720773897361,LDominant,LDominant
DL_226,II,II,0.7720399516150209,99.65010496850944,LDominant,LDominant
DL_224,II,II,0.7307742166602235,96.81063122923588,LDominant,LDominant
DL_222,II,II,0.783251855952672,99.98544819557625,LDominant,LDominant
DL_223,II,II,0.7868003359227317,99.97637051039698,LDominant,LDominant
DL_225,II,II,0.7654674180366431,99.25730318534411,LDominant,LDominant
DL_574,I,I,0.8662945870413025,100.0,LDominant,LDominant
DL_576,I,I,0.8740327763649903,100.0,LDominant,LDominant
DL_573,I,I,0.8653170784070464,100.0,LDominant,LDominant
DL_575,I,I,0.8735798430862594,99.99041962061698,LDominant,LDominant
DL_32,I,I,0.785418373696417,99.89924997201388,LDominant,LDominant
DL_31,I,I,0.8124533038382679,98.68015083990402,LDominant,LDominant
DL_34,I,I,0.41989777314172405,100.0,LDominant,LDominant
DL_33,I,I,0.723208555022552,98.17007534983854,LDominant,LDominant
DL_228,III,III,0.630233278143717,91.28329297820824,LDominant,LDominant
DL_229,III,III,0.7267841461109903,98.93296218974716,LDominant,LDominant
DL_230,III,III,0.5161949897265855,81.80565127498276,LDominant,LDepleted
DL_227,III,III,0.8354570244236861,100.0,LDominant,LDominant
DL_233,III,III,0.8265467491227138,99.92433414043583,LDominant,LDominant
DL_234,III,III,0.8354570244236861,100.0,LDominant,LDominant
DL_231,III,III,0.7974169541895282,99.37595129375951,LDominant,LDominant
DL_232,III,III,0.8330287134939995,99.98669859005055,LDominant,LDominant
DL_235,III,III,0.8031172778841972,99.97773076494822,LDominant,LDominant
DL_453,I,I,0.8794550502299584,100.0,LDominant,LDominant
DL_451,I,I,0.8766489901947824,99.91919191919192,LDominant,LDominant
DL_452,I,I,0.8798651633437262,100.0,LDominant,LDominant
DL_456,II,II,0.5110301095101021,73.49884526558893,LDominant,LDepleted
DL_454,III,III,0.7908731457307248,99.26114061417687,LDominant,LDominant
DL_455,III,III,0.41420179405038676,89.96458087367178,LDominant,LDominant
DL_577,III,III,0.8325917514410208,100.0,LDominant,LDominant
DL_581,III,III,0.833418622686717,100.0,LDominant,LDominant
DL_580,III,III,0.8354570244236861,100.0,LDominant,LDominant
DL_578,III,III,0.8289724004383584,99.94900560938297,LDominant,LDominant
DL_579,III,III,0.8354570244236861,100.0,LDominant,LDominant
DL_459,V,V,0.5855328818187602,99.94514536478333,LDominant,LDominant
DL_457,V,V,0.5692081463018424,99.75048516772942,LDominant,LDominant
DL_458,V,V,0.5497183567589902,99.74587039390089,LDominant,LDominant
DL_585,I,I,0.8284355823434352,100.0,LDominant,LDominant
DL_583,I,I,0.8285589752284602,99.98866727107888,LDominant,LDominant
DL_584,I,I,0.8311485875042613,99.93296089385476,LDominant,LDominant
DL_582,I,I,0.84189027556648,100.0,LDominant,LDominant
DL_586,III,III,0.6609318762455683,100.0,LDominant,LDominant
DL_35,I,I,0.8553327837173199,99.8134825472955,LDominant,LDominant
DL_36,I,I,0.7424891904459842,99.85061248879593,LDominant,LDominant
DL_513,II,II,0.7338601450225493,97.40840035746203,LDominant,LDominant
DL_512,IV,IV,0.21784201593622182,0.0,LDepleted,LDepleted
DL_511,IV,IV,0.3080910285398073,0.0,LDepleted,LDepleted
DL_510,IV,IV,0.3091946760464405,0.0,LDepleted,LDepleted
DL_516,I,I,0.8788955206572033,99.9820788530466,LDominant,LDominant
DL_514,I,I,0.8500219383129692,99.69325153374233,LDominant,LDominant
DL_517,I,I,0.848765312314331,99.17184265010351,LDominant,LDominant
DL_39,I,I,0.8778001525643546,100.0,LDominant,LDominant
DL_38,I,I,0.8786272349222242,100.0,LDominant,LDominant
DL_37,I,I,0.8769795675386652,100.0,LDominant,LDominant
DL_41,I,I,0.8771879558240944,100.0,LDominant,LDominant
DL_43,I,I,0.8762536243235154,100.0,LDominant,LDominant
DL_42,I,I,0.8757688165816635,100.0,LDominant,LDominant
DL_40,III,III,0.7931175818410099,100.0,LDominant,LDominant
DL_237,III,III,0.7941342856971422,99.24242424242425,LDominant,LDominant
DL_236,III,III,0.8078033625520681,99.8989898989899,LDominant,LDominant
DL_238,III,III,0.8083418027733715,99.95996263178967,LDominant,LDominant
DL_240,III,III,0.8006700810259438,99.44765465669613,LDominant,LDominant
DL_462,I,I,0.8681827474183507,99.87977156597535,LDominant,LDominant
DL_461,I,I,0.8429717506717649,100.0,LDominant,LDominant
DL_460,I,I,0.825932943403903,100.0,LDominant,LDominant
DL_518,III,III,0.7979062096955795,99.40931962371472,LDominant,LDominant
DL_519,IV,IV,-0.30515211717700674,64.79481641468684,LDepleted,LDepleted
DL_44,V,V,0.5901413407085624,100.0,LDominant,LDominant
DL_45,V,V,0.5063773753097008,100.0,LDominant,LDominant
DL_46,III,III,0.701861786110835,100.0,LDominant,LDominant
DL_48,III,III,0.663554880893418,100.0,LDominant,LDominant
DL_47,III,III,0.6653889251550755,100.0,LDominant,LDominant
DL_244,II,II,0.6762628216265468,93.36650082918739,LDominant,LDominant
DL_243,II,II,0.7340207829025093,97.3890598630001,LDominant,LDominant
DL_242,III,III,0.8327671307426255,100.0,LDominant,LDominant
DL_520,II,II,0.786918614803325,99.98871204424879,LDominant,LDominant
DL_523,II,II,0.7868141600314258,99.98190045248869,LDominant,LDominant
DL_588,III,III,0.8323278201380722,100.0,LDominant,LDominant
DL_587,III,III,0.8324023139938785,99.98987444309438,LDominant,LDominant
DL_589,III,III,0.8354570244236861,100.0,LDominant,LDominant
DL_590,III,III,0.8300531512662382,99.9819233550253,LDominant,LDominant
DL_53,I,I,0.8768775523474748,100.0,LDominant,LDominant
DL_51,I,I,0.8711668046731358,100.0,LDominant,LDominant
DL_50,I,I,0.8762536243235154,100.0,LDominant,LDominant
